company_name,request_url,request_company_url,location,tags,founding_date,founders,urls,emails,phones,description_short,description
deadopen,https://e27.co/startup/deadopen,http://deadopen.com/,Philippines,"Media,Mobile,Information & Communications Technology",,,"http://www.twitter.com/deadopen,https://www.linkedin.com/company/2860137?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2860137%2Cidx%3A1-1-1%2CtarId%3A1442991644909%2Ctas%3Adeadopen",,,DeadOpen is a web and mobile service that lets a user give a note to someone in the event that he passes away unexpectedly. ,"DeadOpen is a simple, reliable, and secure service that allows you to give a note to someone in the event that you pass away unexpectedly. If nothing happens to you, no one has to know the note ever existed...You can think of it as a MESSAGE FROM THE GRAVE service.Dead On... Dead Easy... DeadOpen.com6% of deaths are caused by unintentional injuries – more than 3 million people die without warning every yearDon’t you wish you can say goodbye? It may not matter much to you but it’s a big deal to the people you leave behind.This is why DeadOpen is here.You create an account. You log in. You create a note. You specify the e-mail address you want the note sent to. The note will automatically be sent to that e-mail address if you don’t log in for a month. To be safe, make it a habit to log in weekly. Do it daily if you can. It’s nothing if you consider what this can do for you.(You can modify the note and the target e-mail address anytime. You can delete your account anytime. But why would you? It’s free!)"
WIV Labs,https://e27.co/startup/wiv-labs,http://www.qaster.com,South Korea,"Big Data,Platform,Information & Communications Technology",September 2013,K Cube Ventures,"http://www.twitter.com/qaster,http://www.facebook.com/pages/Qaster/326041380901601,https://www.linkedin.com/company/3811184?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3811184%2Cidx%3A2-1-2%2CtarId%3A1446115109460%2Ctas%3AWIV%20Labs",,,WIV Labs is a technology-based startup that has developed a global social Q&A service called Qaster.,"WIV Labs is a technology-based startup that has developed a global social Q&A service called Qaster. Qaster is a Q&A service that leverages Twitter conversations to answer whatever questions you may have.Qaster collects and analyzes data from SNS and extracts the meaningful information found in users’ questions and answers.There are around 500M tweets posted every day, and 5M of them are Q&A related posts, they extract the valuable Q&A information and provide them to users.The WIV Labs team is made up of Korea’s definitive experts in search engines. Its programmers developed Korea’s #2 search engine, Daum, end-to-end from scratch.The beta version of Qaster went live in March 2014 at http://qaster.com/"
myow,https://e27.co/startup/myow,http://www.myow.co/,Indonesia,"E-commerce,Mobile",,,http://www.twitter.com/myowID,,,They help online shop to sell easier and more well-organised. They help buyer to buy things online in a simpler way.,They help online shop to sell easier and more well-organised. They help buyer to buy things online in a simpler way.
Shinex Steel Overseas,https://e27.co/startup/shinex-steel-overseas,http://www.shinexsteel.com,India,,,Hemant Bokadia,,,,"Shinex Steel Overseas - Stainless Steel Rods, Stainless Steel Plates & Round Bars Wholesale Supplier from Mumbai, Maharashtra, Vadodara, Gujarat, India. Visit:  www.shinexsteel.com","""Shinex Steel Overseas,"" has gained recognition as the leading manufacturer, exporter, trader and supplier of a premium quality range of Ferrous & Non-Ferrous Metals from last 2 decades. Our product range includes Copper Products, Inconel Products and Stainless Steel Products. The offered products are manufactured using high-quality raw material and advanced technology under the supervision of our experts in compliance with the international quality standards. The raw material which is used to manufacture these products is sourced only from the certified vendors of the industry These products are widely acknowledged for corrosion resistance, compact design, perfect finish, easy to install, unmatched quality and durability. Moreover, we offer our product range in various technical specifications as per the requirements of our clients. Visit: http://www.shinexsteel.com"
Caterspot,https://e27.co/startup/caterspot,http://www.caterspot.com,Singapore,Food & Beverage,January 2016,"Camilo Paredes,Swiss Founders Fund,Triplestar Capital",https://www.facebook.com/CaterSpot/?fref=ts&ref=br_tf,,,Caterspot is an online marketplace that connects companies and people with great local catering options.,"Caterspot is an online marketplace that connects companies and people with great local catering options. We feed companies and events ranging from holiday parties, corporate events, birthdays, office gatherings, dinner parties, and more. We are bringing software and logistics technology to the manual world of catering to bring ordering online and to finally make ordering catering easy, transparent, and fast for any group of 5 or more."
BR Softech Pvt. Ltd.,https://e27.co/startup/br-softech-pvt-ltd,https://www.brsoftech.com,India,,,yatendra,"http://www.twitter.com/BR_Softech,https://www.facebook.com/BrSoftechPvtLtd,https://www.linkedin.com/company/br-softech",,,"I'm a digital marketer and a blogger by heart. I have been into digital marketing for the past two years and counting. I have worked with various brands over the web. Apart from blogging, I'm foody an","BR Softech is an award winning ISO: 9001 : 2008 certified web, mobile and game applications development company, it has offices in USA, Canada, Australia and headquarter situated in Jaipur, India. We have a team of more than 150 highly skilled, experienced and fully energetic team members.BR Softech is an IT consulting and solution providing organization for next generation business collaborates throughout the world. With comprehensive intelligence system across diverse industries and domains, we dedicatedly work over the client's project to turn them into some most successful and high-performance organizations. Sharpen edges through innovation and continuous learning, all these factors turns it into the most promising brand since 2010. At BR Softech, success is guaranteed backed with our efforts, hard work, customer- centric approach and organized team effort.The USP of BR Softech lies in its excellent model of project management that help us to deliver the most complicated, advanced web and mobile app solutions. Client satisfaction is our prime concern and to achieve this we use latest generation technology, smart managing skills to ensure on-time delivery. You will get 24*7 customer support from our side to provide the best solution instantly."
Patron,https://e27.co/startup/patron,https://patron-ico.io/,Japan,,,Atsushi Hisatsumi,"https://business.facebook.com/hisatsumi0530/,https://www.linkedin.com/company/patron-ico/",,,"Influencers and social media (SNS) users from around the world can publish, discover, reserve, or sell influencer data on PATRON’s trustless platform on both web and mobile. PATRON is a one stop shop","Influencers and social media (SNS) users from around the world can publish, discover, reserve, or sell influencer data on PATRON’s trustless platform on both web and mobile. PATRON is a one stop shop for social media influencer focused brands and influencers themselves.Functions1 : Platform to drive the sharing economy of C2C / SNS media.2 : M&A: Selling and acquiring influencers3 : Monthly Subscription / Sharing of influencers (Exclusive Ambassador Contract)4 : SNS All Live -Powered by Switchboard-SNS Media Sharing economy""PATRON"" and live simultaneous distribution service (partnered with SWITCHBOARD LIVE)5 : ICO・Crowdfunding system / Crowdfunding 2.0 (ICOs) specialized for influencers"
A+ Home Tuition,https://e27.co/startup/a-home-tuition,http://www.hometuition-malaysia.com,Malaysia,,,Amy Lim,https://www.facebook.com/tuitionjobsmalaysia/,,,"A+ Home Tuition is the leading online platform for home tutoring services that helps create high quality relationships between parents, students & tutors for an effective education experience.",
TripFlick,https://e27.co/startup/tripflick,http://www.tripflick.com,Singapore,"Mobile,Enterprise Solution,Software as a Service,Travel,Information & Communications Technology",July 2011,,"http://www.twitter.com/Trip_Flick,https://www.facebook.com/TripFlick,http://www.linkedin.com/company/-tripflick",,,TripFlick is a 100% offline mobile travel guide that helps travelers to generate intelligent travel itineraries and get personalized recommendations on attractions and restaurants in a city.,"TripFlick is a 100% offline mobile travel guide that helps travelers to generate intelligent travel itineraries and get personalized recommendations on attractions and restaurants in a city.The latest apparatus for every globe-trotter – TripFlick travel guide makes your trip effortless and highly personalized. Just like a personal tour guide, TripFlick is there for you from planning your itinerary to guiding you around the city, describing attractions, restaurants and more.TripFlick understands that everyone travels differently. TripFlick provides personalized travel recommendations to deliver semantically rich information about sights, based on user interests, profile and location. Available on both Web and Mobile platforms, TripFlick help travelers by:1. Personalized Trip Plans2. Smart Executable Itineraries3. On-the-Spot Personalized Recommendations4. Sharing Travel Dream and Experience with Friends"
IncubateIND,https://e27.co/startup/incubateind,http://www.incubateind.com,India,,,Samkit Sharma,,,,"By providing a space for the next generation of explorers to discover, create, and work together to achieve collective goals and pursue shared ambitions.",
"Ginja Co., Ltd",https://e27.co/startup/ginja-co-ltd,https://ginja.co.th,Thailand,"E-commerce,Food & Beverage",January 2015,Corey McMahon,,,,"Ginja is a food-tech business that empowers restaurants to sell across the web, social media and chat messaging apps.",
Vebology,https://e27.co/startup/vebology,http://www.vebology.com/,United Kingdom,"Advertising,Enterprise Solution,Software as a Service,Agency & Consulting,Information & Communications Technology",,,"http://www.twitter.com/Vebology,https://www.facebook.com/vebologystores/timeline",,,Vebology is easiest way to develop high performance Ecommerce website solutions for your business.,"Vebology offers their clients a complete ecommerce solution, giving them the whole package of an online shop from which they can sell their products and services online for a fraction of the price it costs to make the same fully functional website elsewhere.Vebology is part of KOL Limited which is a UK based company and was designed and created so that people and small business owners can launch their own, easy to manage online store in the most simple and affordable way possible, without any stress or complications."
The Graduate,https://e27.co/startup/the-graduate,https://thegraduate.asia/,Hong Kong,Education,,,,,,"They are building a global marketplace leveraging the latest developments in neuroscience, psychology, and machine learning.","They are building a global marketplace leveraging the latest developments in neuroscience, psychology, and machine learning. This allows students of all ages to connect with the best teachers and tutors, attuned to their individual needs and requirements, in a highly engaging teaching environment."
Rock Nano ,https://e27.co/startup/rock-nano,http://web.rocknano.com/,Singapore,"Entertainment,Gaming,Mobile,Agency & Consulting,Information & Communications Technology",,,"https://www.facebook.com/rocknanoglobal/,https://www.linkedin.com/company/rock-nano-private-limited",,,Rock Nano Private Limited is a Digital New Media Advertisement and Entertainment company established in Singapore.,"Rock Nano Private Limited is a Digital New Media Advertisement and Entertainment company established in Singapore.Their main business area is to provide marketing solutions across the fields of:- Real-time Interactive Content & Installation- 3D/4D Projection Mapping- Holographic Display- Augmented Reality (AR)- Mobile/Web based Applications and GamesRock Nano's main objective is to deliver creative aesthetic content of high quality by integrating art and technology.They are capable of delivering optimized aesthetic content of high quality by integrating art and technology to reach out to as many people as possible across the globe. They offer creative and customized solution for Digital New Media marketing and entertainment needs.Rock Nano's strength in producing 3D content enables them to cater for either real-time optimized content or intense graphics.They have the expertise to produce creative and aesthetic 3D content of minimal file size which best suits real-time interactive contents, web/mobile games and applications. Rock Nano also delivers intense graphics of realistic quality for characters and environment.All of the processes involved with 3D content design, asset creation, production, engineering, and programming are done in-house.They offer value added one-stop-solution by working with the best business partners in the fields where they don't specialize in."
Shipamax,https://e27.co/startup/shipamax,https://www.shipamax.com/,United Kingdom,"Logistics/Supply Chain,Transportation,Travel",,,"http://www.twitter.com/shipamax,https://www.facebook.com/shipamax",,,"Shipamax’s vision is to become the platform of the industry — replacing the thousands of unnecessary emails, siloed excel files and instant messages between players required for each booking.","Shipamax is on a mission to fix the ship booking experience.Shipamax’s vision is to become the platform of the industry - replacing the thousands of unnecessary emails, siloed excel files and instant messages between players required for each booking. Built for the modern workplace, companies use Shipamax to improve team collaboration, increase responsiveness to clients and turn data into their competitive advantage.We work with family-owned shipowners to some of the largest global players to transform the way they work as a team.We will work with you to leverage data from existing systems - interfacing with your voyage management, email clients or other systems.Your data is safe and secure - we use military grade encryption, we’re an independent company and we do not re-sell, re-publish data or operate data exchanges."
Yacademy,https://e27.co/startup/y-academy,http://y.academy,Indonesia,"Education,Advertising",,,"http://www.twitter.com/yacademyasia,https://www.facebook.com/yacademyasia,https://www.linkedin.com/company/yacademy-asia",,,We empower individuals and corporates with knowledge and skills in Digital Technology & Innovation. Our aim is to connect millions of talented individuals with their dream job.,"We serve the next generation digital talents in Southeast Asia. We enable ambitious individuals and corporate teams to succeed online by connecting them with a community of multi-disciplinary digital marketers and experts.Yacademy is part of Ygroup Asia, who offers digital education for companies and students to help bridge the gap between demand and supply for digital professionals in Indonesia. The mission is there’s no one in Indonesia who doesn’t know what is digital marketing and how to measure the success."
Indusface,https://e27.co/startup/indusface,https://www.indusface.com/,India,"Cybersecurity,Mobile,Information & Communications Technology",February 2004,,"http://www.twitter.com/Indusface,https://www.facebook.com/indusface,https://www.linkedin.com/company/indusface",,,Indusface is an award-winning SaaS based total application security company with more than 700 enterprise customers spread across 17 countries.,"Indusface is an award-winning application security company with more than 700 enterprise customers spread across 17 countries who trust them with their web and mobile application security. Indusface's application security cloud platform is Industry’s first truly integrated ‘Total Application Security’ solution that ‘Detects, Protects & Monitors’ web applications on a continuous basis to protect from hackers.The prestigious Gartner group has positioned Indusface in the Magic Quadrant for Application Security Testing. They are also partner to Amazon Web Services (AWS) Marketplace, recognized as Approved Scanning Vendor (ASV) by Payment Card Industry (PCI), and empanelled by the Indian Computer Emergency Response Team (CERT-IN). They’ve won NASSCOM-DSCI Excellence Awards for Information Security Product Company, Deloitte Technology Fast 50 India and 500 Asia, NASSCOM Emerge 50, Red Herring Top 100 Asia, and Channel World 100 awards."
The Venturator ,https://e27.co/startup/the-venturator,http://www.theventurator.com/,India,"Enterprise Solution,Finance,Media,Information & Communications Technology",,,"http://www.twitter.com/The_Venturator,https://www.facebook.com/TheVenturator,https://www.linkedin.com/company/the-venturator",,,The Venturator is an online marketplace that connects startups with ecosystem enablers.,"The Venturator is an online marketplace that connects startups with ecosystem enablers. With it's decontrolled technology, it brings together early-stage startups, startup-specific services providers and investors on one single platform. The Venturator works on an invite-based model.At The Venturator, they are trying to derive this analogy into building an online marketplace where eco-system enablers and startups can connect directly.The Venturator works on an invite based model. So you’d need someone to host you on The Venturator. Once you’re on the portal you can build your profile and navigate through our decontrolled technology and connect to other individuals or join resource pools.They aim to build the most curated and strictly startup-driven pools of entrepreneurs, service providers and investors."
PickPack,https://e27.co/startup/pickpack,http://www.pickpack.id,Indonesia,"Logistics/Supply Chain,Mobile,Software as a Service,Transportation,Information & Communications Technology",,,"http://www.twitter.com/PickPackId,https://www.facebook.com/pickpackid",,,"Shipping, simplified. No longer need to bother packing, labeling and went to the logistic outlet.","Shipping, simplified. No longer need to bother packing, labeling and went to the logistic outlet."
Misobase,https://e27.co/startup/misobase,https://misobase.sg,Singapore,"Entertainment,Human Resources,Retail",January 2019,Matt Holyoake,"http://www.facebook.com/misobase,https://www.linkedin.com/company/misobase",,,Misobase is Singapore's Experience Gifting platform. Find and gift unique experiences in Singapore. ,"Misobase was created with the idea that the best gift is an unforgettable experience.We currently have dozens of unique experiences across  Singapore that our customers can buy and gift. Experiences include Axe Throwing, Virtual Reality, Rock Climbing, Kayak Fishing, Driving a Ferrari, Yoga, Spa & Wellness, Personal Shopping, Creative Workshops, and many more.With Misobase Corporate, corporate clients can use experiences to reward staff, boost employee benefits, and send branded, personal gifts to their clients. Corporate clients can even have their own branded rewards portal, with the option to hand-pick experiences available to their staff."
ElasticRun inc,https://e27.co/startup/elasticrun-inc,http://www.elastic.run/,India,"Logistics/Supply Chain,Transportation",,"Norwest Venture Partners,Kalaari Capital,Kalaari Capital,Norwest Venture Partners",https://www.facebook.com/ElasticRun/,,,ElasticRun is building next generation transportation technology that will power the ecommerce and distribution industry of India.,ElasticRun appears to be building a similar app-based asset-light model for receiving orders and dispatching delivery drivers. ElasticRun is building next generation transportation technology that will power the ecommerce and distribution industry of India.
Sensel Telematics,https://e27.co/startup/sensel-telematics,http://www.sensel.in,India,,,srinivas p,,senselwebmaster@gmail.comMobile,"9845197006,0804169607",Manufacturer of professional vehicle tracking system,"Best Vehicle Tracking SystemSensel Telematics#113/1, 3rd Floor, B Block, SRIT House, ITPL Main Rd, Kundalahalli, Bengaluru, Karnataka 560037Website: http://www.sensel.in/Mail id: senselwebmaster@gmail.comMobile Number: 9845197006Phone: 0804169607"
Oplifi,https://e27.co/startup/oplifi,http://www.oplifi.com/,Singapore,"Media,Software as a Service",,,,,,"We believe that all companies regardless of their size should have access to the best technology, platform and service for their digital paid media campaigns.","We believe that all companies regardless of their size should have access to the best technology, platform and service for their digital paid media campaigns. We think simplicity is good and technology should not get in the way but help you get on the way. Our intent is to make this technology accessible to all by adapting to the needs of enterprises of all sizes."
JobPlanet,https://e27.co/startup/jobplanet,https://www.jobplanet.co.kr/,South Korea,"Education,Human Resources,Media,Information & Communications Technology",,"Altos Ventures,Altos Ventures,Bon Angels,Qualcomm Ventures,Altos Ventures,Qualcomm Ventures,Bon Angels","https://www.facebook.com/jobplanetkorea,https://www.linkedin.com/company/4794169?trk=prof-exp-company-name",,,JobPlanet is a Korean online platform that provides jobseekers with crowdsourced information about potential employers.,"JobPlanet is a Korean online platform that provides jobseekers with crowdsourced information about potential employers.Planet is a job site to assess the strengths and weaknesses of the incumbent or retired are vivid and honest businesses of the company and share anonymously. Promotion opportunities and possibilities, benefits and payroll, work and life balance, company culture, gin, etc. throughout the contest five areas evaluated out of 5 points and ranks the overall score. Along with general comment and chapter / disadvantages that wish to managers, they gotta less whether or not to recommend to friends. Position-specific salary information with corporate reviews, joined later tests, etc., and also gotta divided into separate categories such as information geumgwaokjo those who wish to turnover hangadeuk can quickly take the word of mouth. The aim of the job is to increase the transparency of corporate information Planet classifieds solve the information asymmetry that tendonitis in the job market, everyone is to get a job at the perfect company for you."
BMB Solutions,https://e27.co/startup/bmb-solutions,https://www.thesparkproject.com/projects/view/Big-Mike-Bikes,Philippines,Energy,,,,,,"Built by graduating students of Ateneo de Manila University, BMB Solutions is a community-driven company that developed the Big Mike Bike","Built by graduating students of Ateneo de Manila University, BMB Solutions is a community-driven company that developed the Big Mike Bike – a low-cost, modular, contraption that can do so many things. The bicycle can be fitted with various parts to be an electricity generator and storage, a water pump and filtration system, a shredder, a food processor, a laundry machine, and others. The company is currently part of The Spark Project’s startup community."
